model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
icon_seamless,4-7,forecast_bin,f >= 10,441,0.30158730158730157,0.26061738241516025,0.34598403364867397,0.7278911564625851,0.6845192964156732,0.767327077133866,grid
icon_seamless,4-7,city_group,Centre-south,693,0.5873015873015873,0.5502637279624786,0.6233769164880575,0.8845598845598845,0.8586194872318519,0.906260376339518,grid
icon_seamless,4-7,city_group,Coquimbo coast,126,0.7936507936507936,0.7148150898822467,0.8551107307114085,0.9285714285714286,0.8698147736376255,0.9619688564179797,grid
icon_seamless,4-7,city_group,Coquimbo interior,441,0.7777777777777778,0.7366708508996773,0.814087166610955,0.9229024943310657,0.8941947953027665,0.9443061864583184,grid
best_match,all,all,all cases,3087,0.6789763524457402,0.6622933278444447,0.6952144947664067,0.9002267573696145,0.8891520667972614,0.9103066025886337,era5
best_match,all,forecast_bin,f = 0,1311,0.9954233409610984,0.9900509716436809,0.9979008389915158,1.0,0.9970783862530738,0.9999999999999999,era5
best_match,all,forecast_bin,0 < f < 10,706,0.7152974504249292,0.6809143020480353,0.747350342396798,0.9759206798866855,0.9617776770232308,0.9849125896442953,era5
best_match,all,forecast_bin,f >= 10,1070,0.2672897196261682,0.24164024476423934,0.29460414598706836,0.72803738317757,0.7005951672489296,0.7538480803682629,era5
best_match,all,city_group,Centre-south,1617,0.6060606060606061,0.5820203137702017,0.6295981626209061,0.9066171923314781,0.8914555315899951,0.9198514551572544,era5
best_match,all,city_group,Coquimbo coast,294,0.7482993197278912,0.6957055654853517,0.7944881118770333,0.8809523809523809,0.8389338973089024,0.9131440734388658,era5
best_match,all,city_group,Coquimbo interior,1029,0.7589893100097181,0.7319246848303604,0.784127411468436,0.8940719144800777,0.87378087694826,0.911431599784055,era5
best_match,1-3,all,all cases,1323,0.6780045351473923,0.6523430582505184,0.7026352979406695,0.9002267573696145,0.8829006358710266,0.915235413399606,era5
best_match,1-3,forecast_bin,f = 0,604,0.9966887417218543,0.9880080363771502,0.999091463390885,1.0,0.993680163099822,1.0,era5
best_match,1-3,forecast_bin,0 < f < 10,273,0.7032967032967034,0.6465918590583812,0.7543596474412091,0.9853479853479854,0.9629388157186302,0.9942877538524636,era5
