metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
bias_mm,gfs_seamless,4,grid,gauge,438,21,21,-4.98675799086758,-1.7196977712546204,-3.2670602196129597,1.0217584447137917,3.1974878568565264,shifted,False,
pod,gfs_seamless,4,grid,gauge,438,21,21,0.7086092715231788,0.7421875,-0.03357822847682124,0.025431369709466384,1.320346833868029,robust,False,
far,gfs_seamless,4,grid,gauge,438,21,21,0.10084033613445378,0.20168067226890757,-0.10084033613445378,0.03080457758253731,3.273550363229742,shifted,False,
mae_mm,gfs_seamless,5,grid,gauge,438,21,21,10.629908675799086,8.21026854751033,2.4196401282887567,1.0297111620501616,2.3498241229814756,shifted,False,
bias_mm,gfs_seamless,5,grid,gauge,438,21,21,-8.692009132420091,-5.424948912807132,-3.2670602196129597,1.0188476687647285,3.2066228542035233,shifted,False,
pod,gfs_seamless,5,grid,gauge,438,21,21,0.543046357615894,0.546875,-0.0038286423841059625,0.0348944749138955,0.10972059025256574,robust,False,
far,gfs_seamless,5,grid,gauge,438,21,21,0.10869565217391304,0.2391304347826087,-0.13043478260869568,0.06864556245678559,1.9001196572729406,robust,False,
mae_mm,gfs_seamless,6,grid,gauge,438,21,21,11.387214611872148,8.996846173081103,2.390368438791045,0.999800745500551,2.390844825379986,shifted,False,
bias_mm,gfs_seamless,6,grid,gauge,438,21,21,-8.982191780821918,-5.715131561208958,-3.2670602196129597,1.0113042446086284,3.230541389527443,shifted,False,
pod,gfs_seamless,6,grid,gauge,438,21,21,0.5231788079470199,0.5,0.023178807947019875,0.02596286493059106,0.8927677284069356,robust,False,
far,gfs_seamless,6,grid,gauge,438,21,21,0.19387755102040816,0.3469387755102041,-0.15306122448979592,0.05390884918830852,2.839259728122541,shifted,False,
mae_mm,gfs_seamless,7,grid,gauge,438,21,21,11.640867579908674,9.09704175907806,2.543825820830614,0.9764662271982549,2.605134463410513,shifted,False,
bias_mm,gfs_seamless,7,grid,gauge,438,21,21,-9.784246575342467,-6.517186355729507,-3.2670602196129597,1.0300602783937127,3.1717175083264535,shifted,False,
pod,gfs_seamless,7,grid,gauge,438,21,21,0.33112582781456956,0.328125,0.003000827814569562,0.02016819244689252,0.14879012199389857,robust,False,
far,gfs_seamless,7,grid,gauge,438,21,21,0.24242424242424243,0.36363636363636365,-0.12121212121212122,0.0463486326928342,2.6152253943590744,shifted,False,
mae_mm,icon_seamless,1,grid,gauge,438,21,21,6.3636986301369864,6.021027473363775,0.34267115677321147,0.3226023649066953,1.0622090661744545,robust,False,
bias_mm,icon_seamless,1,grid,gauge,438,21,21,-2.7070776255707765,0.5599825940421832,-3.2670602196129597,1.0314553958653343,3.16742753269721,shifted,True,
pod,icon_seamless,1,grid,gauge,438,21,21,0.8344370860927153,0.8828125,-0.048375413907284726,0.02586499165534221,1.8703046400284906,robust,False,
far,icon_seamless,1,grid,gauge,438,21,21,0.05263157894736842,0.15037593984962405,-0.09774436090225563,0.03361009079532116,2.9081849703263094,shifted,False,
mae_mm,icon_seamless,2,grid,gauge,438,21,21,7.212328767123288,6.71180873015873,0.5005200369645575,0.5109298281073258,0.9796257909205849,robust,False,
bias_mm,icon_seamless,2,grid,gauge,438,21,21,-3.448858447488585,-0.18179822787562527,-3.2670602196129597,1.0504513650931306,3.110148958988986,shifted,False,
pod,icon_seamless,2,grid,gauge,438,21,21,0.7483443708609272,0.765625,-0.0172806291390728,0.018797742756005577,0.9192927769772739,robust,False,
far,icon_seamless,2,grid,gauge,438,21,21,0.08870967741935484,0.20967741935483872,-0.12096774193548387,0.036339580846350465,3.328815003314286,shifted,False,
mae_mm,icon_seamless,3,grid,gauge,438,21,21,6.3780821917808215,6.263242868014785,0.11483932376603612,0.46961047491788627,0.24454165718112728,robust,False,
bias_mm,icon_seamless,3,grid,gauge,438,21,21,-2.9337899543378994,0.33327026527505943,-3.267060219612959,1.0225850536523922,3.1949031603228697,shifted,True,
