model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
gfs_seamless,3,441,81,33,14,0.2585034013605442,0.7105263157894737,0.14736842105263157,0.6328125,20.0,era5
gfs_seamless,4,441,64,50,10,0.2585034013605442,0.5614035087719298,0.13513513513513514,0.5161290322580645,20.0,era5
gfs_seamless,5,441,30,84,8,0.2585034013605442,0.2631578947368421,0.21052631578947367,0.2459016393442623,20.0,era5
gfs_seamless,6,441,17,97,13,0.2585034013605442,0.14912280701754385,0.43333333333333335,0.13385826771653545,20.0,era5
gfs_seamless,7,441,13,101,8,0.2585034013605442,0.11403508771929824,0.38095238095238093,0.10655737704918032,20.0,era5
icon_seamless,1,441,79,35,6,0.2585034013605442,0.6929824561403509,0.07058823529411765,0.6583333333333333,20.0,era5
icon_seamless,2,441,75,39,8,0.2585034013605442,0.6578947368421053,0.0963855421686747,0.6147540983606558,20.0,era5
icon_seamless,3,441,80,34,15,0.2585034013605442,0.7017543859649122,0.15789473684210525,0.6201550387596899,20.0,era5
icon_seamless,4,441,72,42,25,0.2585034013605442,0.631578947368421,0.25773195876288657,0.5179856115107914,20.0,era5
icon_seamless,5,441,69,45,18,0.2585034013605442,0.6052631578947368,0.20689655172413793,0.5227272727272727,20.0,era5
icon_seamless,6,441,80,34,37,0.2585034013605442,0.7017543859649122,0.3162393162393162,0.5298013245033113,20.0,era5
best_match,1,438,179,10,23,0.4315068493150685,0.9470899470899471,0.11386138613861387,0.8443396226415094,1.0,gauge
best_match,2,438,178,11,20,0.4315068493150685,0.9417989417989417,0.10101010101010101,0.8516746411483254,1.0,gauge
best_match,3,438,176,13,30,0.4315068493150685,0.9312169312169312,0.14563106796116504,0.8036529680365296,1.0,gauge
best_match,4,438,180,9,36,0.4315068493150685,0.9523809523809523,0.16666666666666666,0.8,1.0,gauge
best_match,5,438,174,15,54,0.4315068493150685,0.9206349206349206,0.23684210526315788,0.7160493827160493,1.0,gauge
best_match,6,438,175,14,60,0.4315068493150685,0.9259259259259259,0.2553191489361702,0.7028112449799196,1.0,gauge
best_match,7,438,171,18,67,0.4315068493150685,0.9047619047619048,0.2815126050420168,0.66796875,1.0,gauge
ecmwf_ifs025,1,438,178,11,25,0.4315068493150685,0.9417989417989417,0.12315270935960591,0.8317757009345794,1.0,gauge
ecmwf_ifs025,2,438,178,11,19,0.4315068493150685,0.9417989417989417,0.09644670050761421,0.8557692307692307,1.0,gauge
ecmwf_ifs025,3,438,177,12,28,0.4315068493150685,0.9365079365079365,0.13658536585365855,0.815668202764977,1.0,gauge
