model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
ecmwf_ifs025,7,441,10.60861678004535,2,21.2172335600907,0.7913832199546486,0.7510248168307827,0.8267091035783296,0.889459650277264,era5
gfs_seamless,1,441,6.020861678004534,1,6.020861678004534,0.7392290249433107,0.6963104616425873,0.7780158309890184,0.5750625163166379,era5
gfs_seamless,1,441,6.020861678004534,2,12.041723356009069,0.8526077097505669,0.8164797438401068,0.8826457396121652,0.889459650277264,era5
gfs_seamless,2,441,6.411337868480726,1,6.411337868480726,0.7528344671201814,0.7105060084697945,0.7907961870602913,0.5750625163166379,era5
gfs_seamless,2,441,6.411337868480726,2,12.822675736961452,0.8458049886621315,0.809126645962885,0.8765108860401469,0.889459650277264,era5
gfs_seamless,3,441,6.533106575963719,1,6.533106575963719,0.7097505668934241,0.6657225657681015,0.7501559372501311,0.5750625163166379,era5
gfs_seamless,3,441,6.533106575963719,2,13.066213151927437,0.8027210884353742,0.7630345310037125,0.8371793084874664,0.889459650277264,era5
gfs_seamless,4,441,7.682766439909298,1,7.682766439909298,0.7165532879818595,0.6727616165337014,0.7566048379337713,0.5750625163166379,era5
gfs_seamless,4,441,7.682766439909298,2,15.365532879818597,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,era5
gfs_seamless,5,441,10.826530612244898,1,10.826530612244898,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,era5
gfs_seamless,5,441,10.826530612244898,2,21.653061224489797,0.8140589569160998,0.7750909113103742,0.8476028472628713,0.889459650277264,era5
gfs_seamless,6,441,11.648752834467121,1,11.648752834467121,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,era5
gfs_seamless,6,441,11.648752834467121,2,23.297505668934242,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,era5
gfs_seamless,7,441,12.056462585034012,1,12.056462585034012,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,era5
gfs_seamless,7,441,12.056462585034012,2,24.112925170068024,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,era5
icon_seamless,1,441,6.5659863945578225,1,6.5659863945578225,0.7551020408163265,0.7128769985042879,0.7929211808422111,0.5750625163166379,era5
icon_seamless,1,441,6.5659863945578225,2,13.131972789115645,0.8480725623582767,0.8115751332217152,0.8785583825977301,0.889459650277264,era5
icon_seamless,2,441,7.4793650793650786,1,7.4793650793650786,0.7551020408163265,0.7128769985042879,0.7929211808422111,0.5750625163166379,era5
icon_seamless,2,441,7.4793650793650786,2,14.958730158730157,0.8435374149659864,0.8066806436457732,0.8744609045408456,0.889459650277264,era5
icon_seamless,3,441,6.678458049886621,1,6.678458049886621,0.7324263038548753,0.6892316708087304,0.7716066703736354,0.5750625163166379,era5
icon_seamless,3,441,6.678458049886621,2,13.356916099773242,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,era5
icon_seamless,4,441,8.079818594104308,1,8.079818594104308,0.6984126984126984,0.6540159663513261,0.7393826175848397,0.5750625163166379,era5
icon_seamless,4,441,8.079818594104308,2,16.159637188208617,0.8049886621315193,0.7654419772377224,0.8392678460698698,0.889459650277264,era5
icon_seamless,5,441,8.324943310657595,1,8.324943310657595,0.6780045351473923,0.6330204809157224,0.7199142486727236,0.5750625163166379,era5
icon_seamless,5,441,8.324943310657595,2,16.64988662131519,0.8117913832199547,0.7726757539145732,0.8455220208422589,0.889459650277264,era5
icon_seamless,6,441,9.02108843537415,1,9.02108843537415,0.673469387755102,0.6283677363364448,0.7155750256191744,0.5750625163166379,era5
icon_seamless,6,441,9.02108843537415,2,18.0421768707483,0.81859410430839,0.7799272366873733,0.8517584895186987,0.889459650277264,era5
best_match,1,438,4.70379646662318,1,4.70379646662318,0.7146118721461188,0.6705963523891364,0.7548956339808154,0.5750625163166379,gauge
best_match,1,438,4.70379646662318,2,9.40759293324636,0.819634703196347,0.7808971704018853,0.852814298659745,0.889459650277264,gauge
best_match,2,438,5.131786029571646,1,5.131786029571646,0.7100456621004566,0.6658720582107067,0.7505669071726504,0.5750625163166379,gauge
best_match,2,438,5.131786029571646,2,10.263572059143293,0.815068493150685,0.7760249998284241,0.8486334482466116,0.889459650277264,gauge
best_match,3,438,6.403028908458362,1,6.403028908458362,0.6940639269406392,0.6493770846695391,0.7353763072607363,0.5750625163166379,gauge
best_match,3,438,6.403028908458362,2,12.806057816916724,0.8242009132420092,0.7857777428913224,0.8569867471569026,0.889459650277264,gauge
best_match,4,438,7.381254566210046,1,7.381254566210046,0.7031963470319634,0.6587952391790395,0.7440641947244253,0.5750625163166379,gauge
best_match,4,438,7.381254566210046,2,14.762509132420092,0.8082191780821918,0.7687319813317772,0.8423469352633663,0.889459650277264,gauge
best_match,5,438,6.805838649706458,1,6.805838649706458,0.6986301369863014,0.6540836743066033,0.739722738610267,0.5750625163166379,gauge
best_match,5,438,6.805838649706458,2,13.611677299412916,0.8105022831050228,0.7711609933914597,0.8444444336969811,0.889459650277264,gauge
best_match,6,438,9.084976353555122,1,9.084976353555122,0.6643835616438356,0.6189014695543044,0.7070072859631055,0.5750625163166379,gauge
best_match,6,438,9.084976353555122,2,18.169952707110244,0.817351598173516,0.7784600500836637,0.8507249084846692,0.889459650277264,gauge
best_match,7,438,9.569160828440964,1,9.569160828440964,0.678082191780822,0.6329423260810109,0.7201254923961832,0.5750625163166379,gauge
best_match,7,438,9.569160828440964,2,19.138321656881928,0.817351598173516,0.7784600500836637,0.8507249084846692,0.889459650277264,gauge
